client_id,limit_bal,sex,education,marriage,age,bill_amt1,pay_amt1,default_payment
ID-010000,300000,2,1,1,71,44701.28,511.4,0
ID-010001,100000,1,2,1,57,29693.56,15759.4,0
ID-010002,150000,1,3,2,28,62851.45,18064.96,0
ID-010003,300000,1,2,1,27,20223.88,5348.31,0
ID-010004,50000,1,3,1,34,75111.6,16247.81,0
ID-010005,500000,1,2,2,23,71518.82,1648.12,1
ID-010006,150000,2,2,1,70,26998.43,11999.36,0
ID-010007,150000,1,3,2,36,58357.1,9712.94,0
ID-010008,300000,2,1,1,39,45857.86,10918.47,0
ID-010009,20000,2,2,2,71,27011.94,18524.1,0
ID-010010,50000,1,1,1,38,79081.73,17426.3,0
ID-010011,300000,1,4,1,72,2018.99,15701.67,0
ID-010012,50000,2,3,2,36,20211.68,5473.97,0
ID-010013,50000,1,1,1,28,41605.92,18236.37,1
ID-010014,500000,1,2,2,53,41756.24,1950.15,0
ID-010015,150000,2,3,1,69,47114.65,17066.58,0
ID-010016,100000,2,1,1,32,60134.09,6563.2,0
ID-010017,500000,1,2,2,73,49878.23,1075.45,0
ID-010018,500000,2,3,1,31,48022.52,13387.14,0
ID-010019,50000,1,1,2,25,4281.16,4625.6,0
ID-010020,200000,1,2,3,47,30122.42,4871.42,0
ID-010021,150000,1,1,2,32,18564.46,6120.94,0
ID-010022,20000,2,3,2,37,21229.61,1273.7,0
ID-010023,500000,2,4,1,26,44347.0,3542.54,0
ID-010024,100000,2,3,1,53,15960.43,102.79,1
ID-010025,200000,2,2,1,25,23515.93,8908.19,0
ID-010026,200000,2,3,2,48,18966.78,1685.11,0
ID-010027,20000,1,3,3,34,75880.24,13653.05,0
ID-010028,500000,1,1,1,25,75573.26,4712.46,1
ID-010029,100000,1,3,2,74,48795.32,18871.48,0
ID-010030,150000,1,1,1,53,73961.8,17425.03,1
ID-010031,10000,2,2,2,70,62865.01,5788.82,1
ID-010032,100000,1,1,2,68,47195.83,15664.31,0
ID-010033,20000,2,1,3,61,514.82,16064.9,0
ID-010034,200000,1,1,2,39,61801.3,19731.26,0
ID-010035,150000,2,2,1,42,56199.07,11956.8,0
ID-010036,100000,2,1,1,25,49220.29,1639.31,0
ID-010037,10000,1,2,1,22,60833.94,12936.74,0
ID-010038,10000,1,1,1,50,41033.77,12499.59,1
ID-010039,50000,1,1,1,67,56326.66,12767.01,0
ID-010040,50000,1,2,2,59,74813.77,6142.91,0
ID-010041,300000,2,2,2,24,30064.4,17193.59,0
ID-010042,20000,1,1,2,53,56649.75,19189.44,0
ID-010043,500000,1,2,1,33,38055.03,4354.25,0
ID-010044,100000,2,3,2,40,53951.97,1763.04,0
ID-010045,100000,1,2,2,74,61031.47,3890.7,0
ID-010046,500000,1,1,1,27,3636.2,16411.04,0
ID-010047,300000,1,1,2,35,51728.04,13532.89,0
ID-010048,200000,1,3,2,43,18139.29,12720.95,0
ID-010049,200000,1,1,1,34,53602.6,8035.86,1
ID-010050,300000,2,3,2,43,37466.41,11556.56,0
ID-010051,200000,1,2,2,39,61884.22,6157.48,0
ID-010052,50000,1,3,1,74,9872.07,9544.0,0
ID-010053,100000,1,2,2,49,50105.79,15861.26,0
ID-010054,300000,1,4,2,40,22277.66,19624.83,0
ID-010055,100000,1,2,2,49,68238.56,18649.78,0
ID-010056,500000,2,2,2,44,74270.68,18677.32,1
ID-010057,10000,1,2,1,38,79711.86,8044.47,0
ID-010058,50000,2,2,2,30,63680.59,9375.8,0
ID-010059,150000,2,2,2,61,60298.73,14112.71,0
ID-010060,50000,1,3,1,28,17240.06,18443.84,0
ID-010061,300000,1,4,2,46,26880.56,2839.89,0
ID-010062,150000,1,2,2,49,37254.6,6084.84,0
ID-010063,10000,1,2,2,30,61870.48,2784.94,1
ID-010064,300000,2,2,1,37,73197.27,12240.17,0
ID-010065,20000,1,2,2,22,15131.13,6126.02,1
ID-010066,100000,1,1,1,26,73789.4,6522.16,0
ID-010067,10000,1,1,1,25,55649.97,1418.32,1
ID-010068,100000,1,2,1,48,48861.66,6995.92,0
ID-010069,200000,1,1,1,61,15987.3,17249.93,0
ID-010070,20000,1,1,2,25,4442.0,4661.46,1
ID-010071,20000,2,1,2,38,45477.19,13903.75,0
ID-010072,10000,2,1,1,46,52121.25,12592.57,1
ID-010073,20000,1,1,2,40,16862.52,17269.69,0
ID-010074,150000,1,4,2,61,44516.5,2645.76,1
ID-010075,20000,1,2,2,69,68519.47,19551.8,0
ID-010076,100000,2,2,1,47,66805.28,11652.57,0
ID-010077,100000,1,2,2,69,74188.41,19909.48,0
ID-010078,300000,2,1,3,32,29270.86,18230.29,0
ID-010079,100000,1,3,2,27,25443.97,4430.35,0
ID-010080,300000,1,2,1,23,59954.08,1123.24,0
ID-010081,100000,1,1,1,30,34488.99,5112.78,0
ID-010082,150000,1,2,2,54,7003.89,10551.27,0
ID-010083,500000,2,3,2,45,22624.09,3431.93,0
ID-010084,300000,2,3,2,55,33486.58,3349.19,0
ID-010085,50000,1,2,2,36,23401.31,9251.87,0
ID-010086,200000,1,2,1,22,26576.45,665.36,0
ID-010087,10000,2,1,2,44,23502.07,2437.76,0
ID-010088,100000,2,4,2,30,3319.93,8317.23,0
ID-010089,20000,2,1,1,58,50967.58,1262.6,1
ID-010090,500000,2,3,2,42,47783.39,7935.1,0
ID-010091,100000,1,2,3,46,52270.68,9480.13,0
ID-010092,20000,2,2,1,63,15384.79,9025.33,1
ID-010093,200000,1,2,2,59,23652.36,17383.5,0
ID-010094,200000,2,1,1,47,49569.27,10601.25,0
ID-010095,200000,2,1,2,49,47970.21,9359.61,0
ID-010096,20000,2,1,2,67,40506.42,8214.18,0
ID-010097,100000,2,1,2,58,28033.06,16352.47,0
ID-010098,200000,2,2,2,40,73034.48,17901.13,0
ID-010099,150000,1,2,1,47,27181.62,17064.85,0
ID-010100,300000,1,1,2,61,36449.53,13470.93,0
ID-010101,20000,2,4,2,74,54249.11,2747.23,1
ID-010102,20000,2,3,1,40,43441.71,5537.4,0
ID-010103,100000,1,3,2,64,27750.88,921.26,0
ID-010104,20000,2,4,2,39,34851.58,18616.48,1
ID-010105,20000,2,1,1,40,63558.47,13215.97,0
ID-010106,200000,1,2,2,55,22250.33,14927.26,0
ID-010107,100000,2,2,2,67,11380.42,6231.43,1
ID-010108,200000,2,2,1,22,25053.06,16913.07,0
ID-010109,300000,1,1,3,50,67962.74,5192.07,0
ID-010110,500000,1,3,1,73,7119.18,32.88,0
ID-010111,300000,1,1,1,54,79335.69,7528.3,0
ID-010112,500000,2,1,1,42,43280.23,11415.23,0
ID-010113,200000,1,2,2,23,78787.66,9574.1,1
ID-010114,300000,1,2,2,26,75119.71,17241.52,0
ID-010115,100000,1,2,1,35,36225.1,2108.11,0
ID-010116,10000,1,1,1,47,15879.29,11076.47,0
ID-010117,200000,1,3,2,30,13190.78,10259.59,0
ID-010118,500000,1,1,1,29,19199.15,5627.86,0
ID-010119,150000,2,1,2,53,56810.61,16444.56,1
ID-010120,500000,2,3,2,52,21836.0,15056.97,0
ID-010121,150000,1,4,2,68,27314.02,14657.18,0
ID-010122,20000,1,3,3,26,35902.3,17523.85,1
ID-010123,300000,1,3,1,61,73058.61,14455.69,0
ID-010124,150000,2,2,3,56,15151.47,4636.83,0
ID-010125,500000,2,2,2,22,402.12,14111.25,0
ID-010126,20000,2,1,2,49,4807.71,6154.06,1
ID-010127,10000,2,2,1,24,72381.31,4843.49,1
ID-010128,100000,2,2,2,21,51801.32,1460.07,1
ID-010129,100000,2,1,1,39,21843.25,14880.57,0
ID-010130,100000,2,2,1,46,14175.4,14220.02,0
ID-010131,150000,2,2,1,45,23541.34,4689.99,0
ID-010132,10000,2,1,2,30,9183.75,14987.58,1
ID-010133,150000,1,1,2,73,75322.63,18356.82,0
ID-010134,300000,1,2,2,35,62736.49,2160.58,0
ID-010135,150000,1,1,2,42,36991.29,4652.73,1
ID-010136,10000,1,3,1,71,69197.01,15005.22,1
ID-010137,10000,2,2,2,68,19956.66,5490.13,0
ID-010138,300000,2,2,1,41,57369.65,12493.28,0
ID-010139,10000,1,2,2,42,68490.6,1623.28,1
ID-010140,500000,2,3,2,56,28541.5,9044.05,0
ID-010141,10000,1,1,2,54,60597.16,14781.83,0
ID-010142,100000,2,2,2,50,23605.79,13730.28,0
ID-010143,500000,1,2,1,45,23908.57,16301.44,0
ID-010144,500000,2,1,2,65,8564.57,17549.04,0
ID-010145,300000,2,3,2,48,35204.64,15463.67,0
ID-010146,50000,1,2,2,21,58376.95,13431.75,0
ID-010147,50000,2,2,1,69,75217.66,634.45,0
ID-010148,10000,1,3,2,65,48303.76,10699.33,1
ID-010149,500000,1,3,2,24,69050.84,753.95,1
ID-010150,50000,1,2,1,27,65799.57,16161.36,0
ID-010151,50000,1,3,1,69,13867.44,6414.49,1
ID-010152,10000,2,2,2,29,38865.39,11248.59,0
