customer_id,tenure_months,monthly_charges,total_charges,contract_type,tech_support,churn
CUST-001,39,47.42,1849.83,One-Year,Yes,0
CUST-002,52,28.79,1495.63,One-Year,No,0
CUST-003,29,81.58,2356.33,Month-to-Month,No,0
CUST-004,15,59.61,886.31,One-Year,No,0
CUST-005,43,30.98,1322.77,Month-to-Month,No,0
CUST-006,8,64.57,519.29,One-Year,No,0
CUST-007,21,23.09,481.18,One-Year,Yes,0
CUST-008,39,101.84,3971.93,One-Year,Yes,0
CUST-009,58,43.29,2518.97,Month-to-Month,Yes,0
CUST-010,19,79.63,1507.96,Two-Year,Yes,0
CUST-011,23,48.05,1103.36,Month-to-Month,No,0
CUST-012,11,66.81,740.02,Month-to-Month,Yes,0
CUST-013,11,69.2,755.78,Month-to-Month,No,0
CUST-014,24,36.64,870.9,One-Year,No,0
CUST-015,53,107.26,5680.58,One-Year,No,0
CUST-016,36,89.76,3224.58,Month-to-Month,No,0
CUST-017,40,104.55,4190.59,One-Year,No,0
CUST-018,24,100.53,2418.88,Month-to-Month,No,0
CUST-019,3,73.81,224.1,One-Year,Yes,0
CUST-020,22,102.97,2272.77,Month-to-Month,No,0
CUST-021,53,27.96,1487.95,One-Year,Yes,0
CUST-022,2,37.64,69.01,Month-to-Month,Yes,0
CUST-023,24,24.07,585.53,Two-Year,No,0
CUST-024,44,49.28,2169.11,Month-to-Month,Yes,0
CUST-025,30,54.98,1655.55,Month-to-Month,No,0
CUST-026,38,44.42,1695.88,Month-to-Month,No,1
CUST-027,2,94.59,185.54,Two-Year,No,1
CUST-028,21,52.11,1086.51,Two-Year,Yes,1
CUST-029,33,45.28,1488.8,Month-to-Month,Yes,1
CUST-030,12,68.84,824.62,One-Year,No,1
CUST-031,58,32.68,1901.8,Two-Year,No,1
CUST-032,22,92.2,2035.61,One-Year,No,1
CUST-033,44,26.71,1165.38,One-Year,No,1
CUST-034,25,108.82,2720.71,Month-to-Month,No,1
CUST-035,49,89.5,4383.85,Month-to-Month,Yes,1
CUST-036,27,37.88,1017.2,Two-Year,Yes,1
CUST-037,59,20.5,1201.9,Two-Year,No,1
CUST-038,42,93.39,3919.13,One-Year,Yes,1
CUST-039,28,83.62,2350.22,Month-to-Month,Yes,1
CUST-040,16,85.61,1366.22,Month-to-Month,No,1
CUST-041,15,89.41,1341.53,One-Year,No,1
CUST-042,47,26.66,1257.08,Two-Year,No,1
CUST-043,51,52.26,2662.53,Two-Year,No,1
CUST-044,44,30.43,1348.36,One-Year,Yes,1
CUST-045,55,97.68,5381.65,One-Year,No,1
CUST-046,52,76.1,3952.24,Month-to-Month,No,1
CUST-047,57,49.78,2837.4,Month-to-Month,Yes,1
CUST-048,3,25.72,73.18,Two-Year,No,1
CUST-049,37,47.99,1771.33,One-Year,No,1
CUST-050,51,49.27,2503.51,Month-to-Month,No,1
CUST-051,7,85.66,601.81,Month-to-Month,No,0
CUST-052,21,77.38,1625.03,One-Year,No,0
CUST-053,9,99.85,889.68,Month-to-Month,Yes,1
CUST-054,39,62.5,2433.07,Month-to-Month,Yes,0
CUST-055,18,30.76,561.85,One-Year,No,0
CUST-056,4,84.19,331.55,One-Year,No,0
CUST-057,25,88.47,2204.65,One-Year,No,1
CUST-058,14,70.51,986.93,Month-to-Month,No,1
CUST-059,50,89.39,4479.21,One-Year,No,1
CUST-060,58,64.44,3732.36,Month-to-Month,No,1
