longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,target
-120.5546,34.2402,28,4168,681,557,144,1.3211,98836.68
-114.7929,37.5939,7,3846,1076,1486,389,2.2455,140408.42
-116.9801,40.7057,35,4038,666,2625,721,8.9211,404822.9
-118.3134,39.3829,28,284,64,3476,920,13.9671,500000.0
-122.7398,40.0817,14,5270,1638,608,253,7.7028,390848.06
-122.7401,38.6926,10,978,231,3884,1512,12.7227,500000.0
-123.7192,39.0074,16,3657,1278,3308,1283,6.9654,323170.2
-115.6382,40.4824,16,572,150,3152,1144,10.7745,492004.51
-118.2888,34.8469,31,5954,1276,2357,846,11.1122,500000.0
-117.2193,37.1006,42,3573,693,470,152,3.0225,135569.64
-124.0942,34.5794,25,4576,1007,1602,691,5.7376,310482.85
-114.6009,41.7841,13,4938,1109,3672,1086,9.7409,453291.43
-115.9756,41.3742,6,1679,275,353,151,1.5251,117142.96
-122.1766,32.8706,44,5882,1317,991,378,5.7423,260573.33
-122.4818,39.1324,9,4678,1136,3160,1051,8.2546,387074.54
-122.466,41.1973,45,5892,1735,3610,1005,14.9453,500000.0
-121.2576,34.1974,36,5821,1638,3765,1082,7.3807,323986.45
-119.0524,37.8387,43,1366,399,2639,802,12.3328,500000.0
-119.9805,41.1056,20,2907,441,3791,1640,6.765,314481.5
-121.3877,32.8191,18,5058,979,1351,437,12.0477,500000.0
-118.1815,39.0558,43,1174,331,3324,1528,9.1335,465021.58
-122.9051,35.2951,21,5671,1400,1139,413,13.3556,500000.0
-121.3786,41.1893,4,5473,827,2205,780,6.4587,366476.09
-120.6364,41.6279,50,2637,820,2365,1137,9.2624,364387.09
-119.7393,41.3761,33,1073,327,2319,910,9.6353,437972.07
-116.4482,36.9576,27,5722,1486,1877,480,6.5521,319677.19
-122.3033,40.6032,7,1428,233,1603,410,2.5925,138468.3
-119.1577,40.4388,6,3424,1039,3211,1187,1.8566,144286.27
-118.3759,35.4995,15,1569,419,742,356,0.7417,81880.8
-123.8355,40.2918,18,5827,1785,304,129,13.1662,500000.0
-118.2246,32.8479,32,276,83,1528,549,3.9289,166803.83
-122.5948,38.1049,11,5405,1679,2350,603,3.5668,166979.57
-123.6495,34.6621,20,5018,1273,306,134,11.1725,500000.0
-114.8111,33.6333,24,941,168,2480,703,5.1402,210698.86
-114.6437,33.2234,15,5624,1599,491,221,7.8376,384243.25
-116.216,39.0451,48,4122,1130,1931,487,2.8564,178640.34
-121.2539,35.6948,7,5182,1547,2696,976,14.4163,500000.0
-123.3233,39.3128,21,2307,424,1163,328,12.8479,500000.0
-117.4577,33.1143,42,2838,536,3870,1441,13.0249,500000.0
-119.8985,35.4637,26,446,146,2487,764,6.3982,282918.86
-123.0796,37.5712,44,5269,1581,631,265,11.5542,476488.18
-119.3482,39.9328,14,2128,706,3165,1381,2.5862,148576.17
-123.9561,35.4963,37,4794,1447,1785,461,0.625,98073.92
-115.2068,38.3834,21,4474,1205,3785,987,0.7896,73221.57
-121.7122,40.8282,18,3287,923,2695,714,9.0057,444008.47
-117.6748,38.2891,5,5628,1845,68,21,7.1032,336658.22
-121.1829,34.6898,3,3943,1048,1174,325,8.0112,369636.6
-119.0993,32.7294,23,5097,1409,2704,1265,0.6082,56930.63
-118.8329,40.6789,26,2055,373,3887,1456,6.629,332946.29
-122.4515,32.6999,37,2066,506,1430,544,10.912,476712.72
-114.6042,40.7222,24,3221,945,1615,494,6.9191,301476.14
-116.5487,37.472,49,2718,555,3882,1431,11.1172,471891.69
-114.905,41.3272,19,1928,367,2130,927,3.8788,113157.47
-115.3517,40.0086,51,1246,265,2043,640,12.2906,500000.0
-118.321,41.8806,25,1822,361,3350,923,9.0323,402779.6
-115.0813,35.7967,21,211,41,1597,578,3.5561,110611.86
-123.4151,39.7116,12,4026,946,3751,1656,3.9324,177725.56
