customer_id,gender,senior_citizen,tenure,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn
CUST-01000,Male,0,48,Month-to-month,No,Bank transfer,85.73,3969.17,Yes
CUST-01001,Female,0,66,Two year,Yes,Bank transfer,111.34,7626.2,No
CUST-01002,Male,0,70,Two year,Yes,Mailed check,80.48,5503.57,No
CUST-01003,Male,0,28,Month-to-month,No,Bank transfer,101.14,2968.49,Yes
CUST-01004,Male,0,26,Month-to-month,Yes,Bank transfer,87.48,2247.85,Yes
CUST-01005,Female,0,25,Two year,Yes,Electronic check,73.72,1783.63,Yes
CUST-01006,Male,1,12,Month-to-month,No,Bank transfer,42.55,503.03,No
CUST-01007,Male,0,5,Month-to-month,No,Bank transfer,61.06,303.47,No
CUST-01008,Male,1,48,Two year,Yes,Bank transfer,115.51,5305.68,No
CUST-01009,Female,0,37,Month-to-month,No,Bank transfer,84.36,3145.73,Yes
CUST-01010,Male,0,44,Month-to-month,No,Mailed check,74.97,3330.89,Yes
CUST-01011,Male,0,15,Month-to-month,Yes,Credit card,112.01,1720.29,Yes
CUST-01012,Male,1,43,Two year,No,Electronic check,77.19,3162.89,No
CUST-01013,Male,1,48,One year,No,Bank transfer,71.12,3427.84,No
CUST-01014,Female,0,70,Month-to-month,No,Bank transfer,94.56,6323.26,No
CUST-01015,Male,0,46,Month-to-month,No,Mailed check,89.87,4217.17,Yes
CUST-01016,Female,0,43,Month-to-month,Yes,Credit card,37.66,1547.44,Yes
CUST-01017,Female,0,21,One year,Yes,Bank transfer,65.62,1434.76,Yes
CUST-01018,Female,1,23,One year,Yes,Mailed check,65.74,1542.58,No
CUST-01019,Male,0,47,Month-to-month,Yes,Electronic check,56.26,2646.17,No
CUST-01020,Female,0,15,Two year,Yes,Electronic check,70.24,1047.44,Yes
CUST-01021,Male,0,25,Month-to-month,No,Bank transfer,59.77,1439.06,No
CUST-01022,Female,1,36,Month-to-month,No,Bank transfer,38.28,1349.28,Yes
CUST-01023,Female,1,51,Month-to-month,No,Credit card,59.69,3156.51,No
CUST-01024,Female,0,15,Month-to-month,No,Credit card,25.51,398.13,No
CUST-01025,Female,0,68,Month-to-month,No,Bank transfer,76.12,4917.74,No
CUST-01026,Female,0,21,Month-to-month,Yes,Mailed check,104.04,2205.41,Yes
CUST-01027,Female,0,13,Month-to-month,Yes,Credit card,91.14,1210.8,Yes
CUST-01028,Female,0,19,One year,Yes,Bank transfer,54.47,1047.22,No
CUST-01029,Female,1,34,Month-to-month,No,Credit card,27.0,879.6,No
CUST-01030,Male,0,68,One year,Yes,Bank transfer,38.57,2548.73,No
CUST-01031,Male,1,52,Two year,No,Electronic check,73.07,3704.78,Yes
CUST-01032,Female,1,27,Month-to-month,Yes,Bank transfer,39.06,1089.6,Yes
CUST-01033,Female,0,29,Month-to-month,No,Electronic check,72.92,2106.9,No
CUST-01034,Female,0,28,Month-to-month,No,Credit card,41.53,1161.31,No
CUST-01035,Male,1,35,Month-to-month,No,Bank transfer,103.57,3782.6,Yes
CUST-01036,Female,1,8,Month-to-month,No,Credit card,58.18,471.82,No
CUST-01037,Male,0,16,One year,No,Electronic check,42.93,714.26,No
CUST-01038,Male,0,36,One year,No,Bank transfer,99.89,3580.4,No
CUST-01039,Male,0,30,Month-to-month,No,Credit card,52.71,1525.87,No
CUST-01040,Male,1,18,Two year,No,Electronic check,29.45,552.89,No
CUST-01041,Male,0,2,Month-to-month,No,Credit card,75.58,150.54,Yes
CUST-01042,Female,0,49,Two year,Yes,Mailed check,76.7,3638.65,No
CUST-01043,Female,0,4,One year,Yes,Electronic check,90.08,353.2,No
CUST-01044,Female,0,7,One year,Yes,Electronic check,42.39,283.4,No
CUST-01045,Female,0,39,Month-to-month,Yes,Electronic check,62.85,2443.38,No
CUST-01046,Female,0,13,Month-to-month,Yes,Bank transfer,46.63,627.6,Yes
CUST-01047,Male,0,31,Two year,No,Bank transfer,26.39,853.56,Yes
CUST-01048,Female,0,71,Month-to-month,No,Bank transfer,106.35,7877.5,No
CUST-01049,Female,0,63,Two year,No,Mailed check,91.5,5548.46,No
CUST-01050,Male,0,56,Month-to-month,Yes,Mailed check,48.55,2686.73,No
CUST-01051,Female,1,42,Month-to-month,Yes,Electronic check,78.49,3141.06,No
CUST-01052,Male,0,61,Month-to-month,Yes,Mailed check,38.48,2430.65,No
CUST-01053,Female,0,42,Month-to-month,Yes,Credit card,107.72,4460.34,No
CUST-01054,Male,1,56,Two year,Yes,Electronic check,29.8,1690.68,No
CUST-01055,Female,0,36,Month-to-month,Yes,Electronic check,18.64,685.46,No
CUST-01056,Female,0,68,Month-to-month,No,Credit card,68.7,4638.83,No
CUST-01057,Male,0,7,Month-to-month,No,Electronic check,76.85,527.54,Yes
CUST-01058,Male,0,54,Month-to-month,Yes,Mailed check,76.44,4318.55,No
CUST-01059,Male,0,1,Month-to-month,Yes,Bank transfer,23.73,24.83,No
CUST-01060,Male,0,44,Month-to-month,Yes,Credit card,49.81,2145.49,No
CUST-01061,Male,0,45,Two year,Yes,Mailed check,68.42,3072.63,No
CUST-01062,Male,0,47,Month-to-month,No,Credit card,40.02,1969.88,No
CUST-01063,Male,0,13,Month-to-month,Yes,Credit card,105.95,1309.15,Yes
CUST-01064,Male,0,22,Month-to-month,Yes,Electronic check,27.0,588.81,No
CUST-01065,Female,0,21,Month-to-month,Yes,Electronic check,67.23,1355.42,No
CUST-01066,Female,0,9,Two year,Yes,Mailed check,87.74,790.38,No
CUST-01067,Male,0,26,Month-to-month,No,Credit card,44.56,1103.49,No
CUST-01068,Female,1,9,Month-to-month,No,Electronic check,80.99,722.12,Yes
CUST-01069,Female,0,15,One year,No,Electronic check,101.6,1481.43,Yes
CUST-01070,Female,0,10,Month-to-month,Yes,Credit card,37.38,375.05,No
CUST-01071,Female,0,42,Month-to-month,Yes,Mailed check,110.43,4868.1,Yes
CUST-01072,Male,0,72,Two year,Yes,Mailed check,73.88,5479.23,No
CUST-01073,Female,0,24,One year,No,Credit card,48.32,1199.76,No
CUST-01074,Male,1,49,Two year,Yes,Mailed check,61.55,3056.75,No
CUST-01075,Female,1,26,Month-to-month,Yes,Electronic check,49.63,1231.22,Yes
CUST-01076,Female,0,37,Month-to-month,No,Credit card,91.12,3272.59,No
CUST-01077,Female,1,68,Month-to-month,No,Electronic check,98.28,6967.11,No
CUST-01078,Male,0,50,Month-to-month,Yes,Bank transfer,101.96,5029.74,Yes
CUST-01079,Female,0,24,Two year,Yes,Bank transfer,117.32,2704.08,Yes
CUST-01080,Male,0,19,Month-to-month,Yes,Mailed check,97.77,1895.23,Yes
CUST-01081,Female,1,60,Two year,No,Bank transfer,78.69,4626.72,No
CUST-01082,Male,0,39,One year,Yes,Electronic check,52.34,1994.08,No
CUST-01083,Female,0,18,Month-to-month,No,Bank transfer,72.98,1379.06,No
CUST-01084,Male,0,19,Month-to-month,Yes,Electronic check,22.38,440.45,No
CUST-01085,Male,0,36,One year,No,Mailed check,93.1,3320.74,No
CUST-01086,Female,0,55,Month-to-month,No,Mailed check,63.07,3635.45,No
CUST-01087,Male,0,69,Two year,Yes,Electronic check,20.26,1418.92,No
CUST-01088,Female,0,47,Month-to-month,No,Bank transfer,24.53,1180.81,Yes
CUST-01089,Female,0,49,Month-to-month,Yes,Mailed check,57.19,2671.03,No
CUST-01090,Female,0,33,One year,No,Credit card,76.88,2441.04,No
CUST-01091,Female,0,21,Two year,No,Mailed check,64.9,1381.04,No
CUST-01092,Female,0,22,Month-to-month,Yes,Bank transfer,80.48,1841.21,Yes
CUST-01093,Female,0,48,Two year,No,Credit card,66.52,3232.47,No
CUST-01094,Female,1,37,Month-to-month,No,Bank transfer,84.75,3020.99,Yes
CUST-01095,Female,0,15,One year,Yes,Electronic check,40.27,580.84,No
CUST-01096,Female,0,35,One year,Yes,Credit card,29.59,1071.3,No
CUST-01097,Female,0,71,Month-to-month,No,Bank transfer,78.19,5351.25,No
CUST-01098,Female,0,32,Month-to-month,No,Credit card,66.96,2147.06,No
CUST-01099,Male,0,11,One year,Yes,Bank transfer,20.95,219.78,No
CUST-01100,Male,0,10,Month-to-month,Yes,Credit card,56.49,541.21,Yes
CUST-01101,Female,0,57,One year,Yes,Bank transfer,28.92,1676.85,No
CUST-01102,Female,0,25,Month-to-month,Yes,Electronic check,71.65,1825.14,No
CUST-01103,Female,0,2,Two year,Yes,Credit card,58.03,114.22,No
CUST-01104,Female,0,64,One year,No,Credit card,79.87,4966.31,No
CUST-01105,Female,0,35,Two year,Yes,Credit card,99.21,3581.28,Yes
CUST-01106,Female,0,7,Month-to-month,No,Credit card,48.37,329.01,Yes
CUST-01107,Female,0,18,One year,Yes,Electronic check,114.94,2077.62,No
CUST-01108,Female,0,67,One year,Yes,Credit card,72.08,5055.47,No
CUST-01109,Male,0,42,Month-to-month,Yes,Mailed check,80.39,3257.48,No
CUST-01110,Female,0,39,Month-to-month,Yes,Electronic check,86.66,3528.74,Yes
CUST-01111,Male,0,41,Month-to-month,No,Mailed check,85.26,3384.81,Yes
CUST-01112,Female,0,24,One year,No,Credit card,69.6,1681.67,No
CUST-01113,Female,0,60,Month-to-month,No,Bank transfer,61.34,3635.13,No
CUST-01114,Male,1,46,Month-to-month,No,Mailed check,23.66,1138.96,Yes
CUST-01115,Female,1,19,One year,No,Credit card,20.47,380.12,No
CUST-01116,Male,0,68,Month-to-month,Yes,Mailed check,54.23,3650.64,No
CUST-01117,Female,0,42,Month-to-month,No,Credit card,51.78,2279.77,No
CUST-01118,Female,0,32,Two year,No,Credit card,57.21,1837.4,No
CUST-01119,Male,0,39,Two year,Yes,Credit card,32.16,1254.57,No
CUST-01120,Female,0,36,Month-to-month,No,Bank transfer,92.44,3247.23,Yes
CUST-01121,Male,0,36,Month-to-month,Yes,Mailed check,104.37,3832.98,No
CUST-01122,Female,0,3,One year,Yes,Electronic check,112.59,321.37,Yes
CUST-01123,Male,0,8,Month-to-month,No,Electronic check,67.73,517.43,No
CUST-01124,Male,0,70,Month-to-month,Yes,Electronic check,88.69,6269.98,Yes
CUST-01125,Female,0,41,Month-to-month,Yes,Electronic check,104.23,4205.77,No
